Volume,NumAtoms,EOpt,Energy
64.0210312,6,-53.47203513,-53.462521
268.7064983,24,-193.1784023,-193.177992
125.9633856,12,-96.64990584,-96.635866
121.0774304,12,-110.5571464,-110.54097
64.43495901,6,-50.03801974,-50.037473
262.564876,24,-213.9560103,-213.943367
66.10851173,6,-45.2321094,-45.230525
122.691775,12,-110.5571464,-110.557043
68.1312792,6,-53.50445873,-53.494014
70.31714547,6,-53.50445873,-53.495812
127.6207774,12,-96.64990584,-96.649944
73.11458827,6,-44.97133636,-44.97067
70.87082129,6,-55.34572634,-55.302972
130.1340254,12,-93.41977688,-93.412386
267.1622119,24,-199.9180838,-199.914843
261.0442337,24,-206.844157,-206.833228
262.5648759,24,-206.844157,-206.843099
71.42739588,6,-48.24647787,-48.246188
61.17306496,6,-55.25630782,-55.233761
262.5648759,24,-221.2540945,-221.191208
69.21846011,6,-55.34572634,-55.342396
271.8129012,24,-193.1784023,-193.161905
64.85066715,6,-53.47203513,-53.438553
258.0205856,24,-206.844157,-206.777269
71.98687683,6,-46.58529657,-46.584035
258.0205856,24,-199.9180838,-199.757465
67.59198397,6,-55.34572634,-55.337621
65.68743968,6,-45.2321094,-45.227661
126.7902761,12,-103.404014,-103.386972
259.5294741,24,-213.9560103,-213.954516
261.0442337,24,-213.9560103,-213.954768
264.0914121,24,-206.844157,-206.841598
264.0914121,24,-213.9560103,-213.920029
63.19850132,6,-53.47203513,-53.472078
71.98687686,6,-51.70676267,-51.677227
267.1622119,24,-180.2657254,-180.119008
64.43495901,6,-51.7323959,-51.726364
62.38304691,6,-51.7323959,-51.712385
278.0973466,24,-180.2657254,-180.249083
127.6207775,12,-106.9297876,-106.848779
265.6238536,24,-213.9560103,-213.885155
61.97796344,6,-55.25630782,-55.252716
71.42739587,6,-51.70676267,-51.691278
69.76636098,6,-48.24647787,-48.222395
66.10851175,6,-46.78778229,-46.784137
64.85066714,6,-51.7323959,-51.718093
276.5172518,24,-180.2657254,-180.26159
66.53137942,6,-45.2321094,-45.230043
74.82814248,6,-46.58529657,-46.547184
74.82814251,6,-44.97133636,-44.955898
273.3750405,24,-193.1784023,-193.138251
122.691775,12,-106.9297876,-106.922129
71.42739584,6,-46.58529657,-46.578484
130.9790489,12,-93.41977688,-93.399191
70.87082124,6,-51.70676267,-51.700756
265.6238536,24,-193.1784023,-193.150561
127.6207775,12,-90.28528066,-90.249241
125.9633856,12,-93.41977688,-93.373737
267.1622119,24,-213.9560103,-213.839506
62.78989158,6,-51.7323959,-51.72296
271.8129012,24,-180.2657254,-180.237973
265.6238537,24,-186.6280823,-186.53074
274.9431536,24,-180.2657254,-180.264011
63.60887992,6,-51.7323959,-51.732191
265.6238536,24,-180.2657254,-180.057091
258.0205855,24,-213.9560103,-213.942559
73.11458825,6,-46.58529657,-46.582204
74.25401605,6,-46.58529657,-46.563248
129.2926443,12,-90.28528066,-90.279987
129.2926443,12,-96.64990584,-96.635587
72.54927181,6,-48.24647787,-48.239854
69.76636095,6,-53.50445873,-53.502429
129.2926442,12,-93.41977688,-93.418979
62.38304691,6,-55.25630782,-55.255995
64.85066716,6,-45.2321094,-45.212595
267.1622119,24,-186.6280823,-186.571318
126.7902761,12,-93.41977688,-93.395972
61.5746374,6,-55.25630782,-55.245334
122.691775,12,-99.97814117,-99.903877
69.76636097,6,-49.95387805,-49.946337
71.98687684,6,-48.24647787,-48.245186
68.67343539,6,-53.50445873,-53.501621
271.8129013,24,-186.6280823,-186.626856
64.02103121,6,-48.38949879,-48.380034
122.691775,12,-103.404014,-103.371733
256.5175568,24,-221.2540945,-221.250004
63.60887992,6,-50.03801974,-50.032286
64.43495901,6,-48.38949879,-48.386365
71.42739586,6,-53.50445873,-53.468056
69.76636096,6,-51.70676267,-51.702981
128.4548976,12,-96.64990584,-96.64621
128.4548975,12,-90.28528066,-90.268231
70.31714548,6,-51.70676267,-51.705855
124.3204058,12,-99.97814117,-99.956025
125.1400981,12,-99.97814117,-99.97016
68.67343536,6,-51.70676267,-51.693218
62.78989158,6,-53.47203513,-53.471096
63.1985013,6,-55.25630782,-55.250885
120.2755957,12,-110.5571464,-110.520265
65.68743971,6,-48.38949879,-48.383483
125.9633856,12,-90.28528066,-90.189498
64.85066716,6,-46.78778229,-46.781252
63.1985013,6,-50.03801974,-50.02397
70.31714548,6,-55.34572634,-55.321064
259.5294741,24,-221.2540945,-221.244302
261.0442337,24,-199.9180838,-199.855959
130.9790489,12,-90.28528066,-90.282427
125.1400981,12,-103.404014,-103.403925
68.67343539,6,-55.34572634,-55.345685
63.60887991,6,-55.25630782,-55.24268
126.7902761,12,-106.9297876,-106.879394
73.68283381,6,-44.97133636,-44.970191
72.5492718,6,-44.97133636,-44.967504
66.10851176,6,-48.38949879,-48.375487
64.02103119,6,-50.03801974,-50.036745
70.87082127,6,-53.50445873,-53.484281
125.1400981,12,-106.9297876,-106.919375
71.98687685,6,-49.95387805,-49.942782
70.87082125,6,-48.24647787,-48.242807
72.5492718,6,-46.58529657,-46.585027
127.6207774,12,-99.97814117,-99.968474
66.53137943,6,-46.78778229,-46.77825
68.67343537,6,-49.95387805,-49.920465
268.7064983,24,-180.2657254,-180.169744
258.0205855,24,-221.2540945,-221.253834
70.87082126,6,-49.95387805,-49.95371
264.0914121,24,-199.9180838,-199.90795
270.2567243,24,-193.1784023,-193.175085
64.43495903,6,-53.47203513,-53.452482
