Energy,Attyps,Coord1,Coord2,Coord3,Coord4,Coord5,Coord6,Coord7,Coord8,Coord9,Coord10,Coord11,Coord12
-723.079113,4;8,-0.000003791;0.176766003;0.250001254,0.000003791;0.823233997;0.749998770,0.500002966;0.676786726;0.249998342,0.499997034;0.323213274;0.750001682,0.271877875;0.379365021;0.418793166,0.728122125;0.620634979;0.581206858,0.228104478;0.120602633;0.918765909,0.771895522;0.879397367;0.081234115,0.771863873;0.120588803;0.581215478,0.228136127;0.879411197;0.418784546,0.728097976;0.379370245;0.081232267,0.271902024;0.620629755;0.918767757
-723.0652135,4;8,-0.000003791;0.176766003;0.250001255,0.000003791;0.823233997;0.749998771,0.500002966;0.676786726;0.249998343,0.499997034;0.323213274;0.750001683,0.271877875;0.379365021;0.418793167,0.728122125;0.620634979;0.581206859,0.228104478;0.120602633;0.918765910,0.771895522;0.879397367;0.081234116,0.771863873;0.120588803;0.581215479,0.228136127;0.879411197;0.418784547,0.728097976;0.379370245;0.081232268,0.271902024;0.620629755;0.918767758
-722.8140073,4;8,-0.000003791;0.176766003;0.250001256,0.000003791;0.823233997;0.749998772,0.500002966;0.676786726;0.249998344,0.499997034;0.323213274;0.750001684,0.271877875;0.379365021;0.418793168,0.728122125;0.620634979;0.581206860,0.228104478;0.120602633;0.918765911,0.771895522;0.879397367;0.081234117,0.771863873;0.120588803;0.581215480,0.228136127;0.879411197;0.418784548,0.728097976;0.379370245;0.081232269,0.271902024;0.620629755;0.918767759
-722.8169577,4;8,-0.000003791;0.176766003;0.250001257,0.000003791;0.823233997;0.749998773,0.500002966;0.676786726;0.249998345,0.499997034;0.323213274;0.750001685,0.271877875;0.379365021;0.418793169,0.728122125;0.620634979;0.581206861,0.228104478;0.120602633;0.918765912,0.771895522;0.879397367;0.081234118,0.771863873;0.120588803;0.581215481,0.228136127;0.879411197;0.418784549,0.728097976;0.379370245;0.081232270,0.271902024;0.620629755;0.918767760
-722.8162898,4;8,-0.000003791;0.176766003;0.250001258,0.000003791;0.823233997;0.749998774,0.500002966;0.676786726;0.249998346,0.499997034;0.323213274;0.750001686,0.271877875;0.379365021;0.418793170,0.728122125;0.620634979;0.581206862,0.228104478;0.120602633;0.918765913,0.771895522;0.879397367;0.081234119,0.771863873;0.120588803;0.581215482,0.228136127;0.879411197;0.418784550,0.728097976;0.379370245;0.081232271,0.271902024;0.620629755;0.918767761
-722.8121794,4;8,-0.000003791;0.176766003;0.250001259,0.000003791;0.823233997;0.749998775,0.500002966;0.676786726;0.249998347,0.499997034;0.323213274;0.750001687,0.271877875;0.379365021;0.418793171,0.728122125;0.620634979;0.581206863,0.228104478;0.120602633;0.918765914,0.771895522;0.879397367;0.081234120,0.771863873;0.120588803;0.581215483,0.228136127;0.879411197;0.418784551,0.728097976;0.379370245;0.081232272,0.271902024;0.620629755;0.918767762
-722.8048487,4;8,-0.000003791;0.176766003;0.250001260,0.000003791;0.823233997;0.749998776,0.500002966;0.676786726;0.249998348,0.499997034;0.323213274;0.750001688,0.271877875;0.379365021;0.418793172,0.728122125;0.620634979;0.581206864,0.228104478;0.120602633;0.918765915,0.771895522;0.879397367;0.081234121,0.771863873;0.120588803;0.581215484,0.228136127;0.879411197;0.418784552,0.728097976;0.379370245;0.081232273,0.271902024;0.620629755;0.918767763
-722.7944791,4;8,-0.000003791;0.176766003;0.250001261,0.000003791;0.823233997;0.749998777,0.500002966;0.676786726;0.249998349,0.499997034;0.323213274;0.750001689,0.271877875;0.379365021;0.418793173,0.728122125;0.620634979;0.581206865,0.228104478;0.120602633;0.918765916,0.771895522;0.879397367;0.081234122,0.771863873;0.120588803;0.581215485,0.228136127;0.879411197;0.418784553,0.728097976;0.379370245;0.081232274,0.271902024;0.620629755;0.918767764
-722.7812481,4;8,-0.000003791;0.176766003;0.250001262,0.000003791;0.823233997;0.749998778,0.500002966;0.676786726;0.249998350,0.499997034;0.323213274;0.750001690,0.271877875;0.379365021;0.418793174,0.728122125;0.620634979;0.581206866,0.228104478;0.120602633;0.918765917,0.771895522;0.879397367;0.081234123,0.771863873;0.120588803;0.581215486,0.228136127;0.879411197;0.418784554,0.728097976;0.379370245;0.081232275,0.271902024;0.620629755;0.918767765
-722.5287334,4;8,-0.000003791;0.176766003;0.250001263,0.000003791;0.823233997;0.749998779,0.500002966;0.676786726;0.249998351,0.499997034;0.323213274;0.750001691,0.271877875;0.379365021;0.418793175,0.728122125;0.620634979;0.581206867,0.228104478;0.120602633;0.918765918,0.771895522;0.879397367;0.081234124,0.771863873;0.120588803;0.581215487,0.228136127;0.879411197;0.418784555,0.728097976;0.379370245;0.081232276,0.271902024;0.620629755;0.918767766
