Energy,CalcType,AtomIndex,DChargeRHigh,DChargeRLow,DChargeRCenter,PChargeRHigh,PChargeRLow,PChargeRCenter,DMagP,PMagP
-427.7550569,Chi0,7,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,8,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,9,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,10,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,11,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,12,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,13,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,14,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,15,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,16,1.893,1.893,1.893,6.455,6.455,6.455,0,0
-427.7550569,Chi0,17,0,0,0,3.481,3.493,3.487,0,0
-427.7550569,Chi0,18,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,19,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,20,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,21,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,22,0,0,0,3.481,3.493,3.487,0,0
-427.7550569,Chi0,23,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,24,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,25,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,26,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,27,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,28,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,29,0,0,0,3.483,3.491,3.487,0,0
-427.7550569,Chi0,30,0,0,0,3.487,3.487,3.487,0,0
-427.7550569,Chi0,31,0,0,0,3.487,3.487,3.487,0,0
